Geneid	D35Ctrl_222_Aligned	D35Ctrl_322_Aligned	D35Ctrl_323_Aligned	D35GAF7_322_Aligned	D35GAF7_323_Aligned	D35GAG5_222_Aligned	D35GAG5_322_Aligned	D35GAG5_323_Aligned	D35RCD5_222_Aligned	D35RCD5_322_Aligned	D35RCD5_323_Aligned	D35RCG3_222_Aligned	D35RCG3_322_Aligned	D35RCG3_323_Aligned	D65Ctrl_1123_Aligned	D65Ctrl_222_Aligned	D65Ctrl_423_Aligned	D65GAF7_222_Aligned	D65GAF7_423_Aligned	D65GAG5_423_Aligned	D65GA_1123_Aligned	D65RCD5_423_Aligned	D65RCG3_222_Aligned	D65RCG3_423_Aligned	D65RC_1123_Aligned
LOC100132287	12	4	17	17	11	11	17	19	19	11	12	15	13	15	19	18	16	10	11	11	18	18	8	16	18
LOC124904706	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC105378947	5	2	0	3	3	2	1	3	1	3	5	5	1	3	1	3	6	14	5	2	3	0	1	6	1
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
MIR12136	11	20	18	16	20	9	18	17	14	18	21	12	14	29	13	23	17	31	6	12	9	24	14	17	16
OR4F16	1	2	4	6	2	4	0	4	2	0	3	2	0	1	3	2	4	5	1	2	4	2	1	7	3
LOC100288069	342	421	509	348	377	239	374	433	301	291	314	277	492	538	275	307	244	494	261	217	338	329	262	396	386
LINC01409	20	52	39	34	31	24	24	30	15	20	24	23	36	17	31	20	38	53	19	21	41	21	11	25	28
LOC124903817	29	53	48	32	30	24	38	35	24	19	19	26	36	48	38	42	39	57	31	44	19	27	18	45	63
FAM87B	7	16	11	25	11	7	11	18	11	14	20	8	21	18	7	7	22	36	15	15	8	13	10	18	13
LINC00115	48	32	22	31	39	38	70	39	21	75	28	65	33	28	96	34	80	63	36	18	122	58	18	26	23
LINC01128	509	909	1052	387	534	505	416	609	438	266	488	959	688	565	774	608	1249	824	738	1023	435	792	529	1232	871
LOC107984850	1	1	7	0	1	0	0	3	2	2	5	5	2	2	9	5	9	2	4	14	5	6	0	13	13
FAM41C	3	2	2	1	2	2	1	0	1	2	0	5	3	1	1	0	4	0	1	2	0	4	0	4	0
LOC284600	405	1467	1190	1478	1232	481	1164	1365	537	899	1186	435	1929	1624	884	465	1985	1022	2084	2875	669	2627	391	3664	1533
LINC02593	13	51	48	176	56	46	97	66	23	78	97	90	290	158	143	24	153	78	187	253	102	232	90	340	54
LOC107985728	16	60	19	338	46	90	80	48	19	125	87	188	540	230	55	32	20	131	35	22	25	44	181	74	18
SAMD11	122	384	114	3340	327	1134	852	413	160	1302	707	1224	3690	1723	311	285	67	1031	117	89	147	256	1646	360	69
NOC2L	3754	3226	2360	2342	1831	3834	2036	2102	4026	1910	1656	4439	3046	2130	2779	2306	1987	3446	1737	1707	1853	2282	2350	2429	2141
KLHL17	497	990	798	923	898	507	917	1022	525	951	920	575	1150	1274	1080	831	954	1165	848	852	572	1111	476	1238	1123
PLEKHN1	6	2	5	7	5	22	3	9	4	4	3	47	17	6	19	3	1	23	12	14	9	6	23	17	19
PERM1	5	2	0	1	1	11	2	5	8	2	0	26	2	2	2	1	0	6	1	4	0	0	4	8	3
HES4	2412	4232	2856	2153	4991	1899	5142	4474	2228	4528	4981	2003	2655	3602	2568	1350	4543	3148	2991	2187	1574	3271	1237	3175	2622
ISG15	251	185	167	125	261	127	203	290	197	207	256	188	229	221	809	232	243	345	200	156	136	210	358	214	118
AGRN	17752	21966	14608	28916	25670	21636	21610	22064	13770	24440	21281	35300	31269	26826	21884	34344	18219	61217	17722	16449	14230	20194	32215	23270	16063
LOC100288175	45	36	23	86	49	27	53	47	25	42	46	88	66	93	71	72	80	62	50	48	22	55	58	89	68
LOC105378948	27	27	29	82	60	13	74	45	18	64	74	35	48	91	65	39	75	35	48	55	44	61	27	80	53
RNF223	2	2	2	3	2	0	7	1	8	7	3	44	4	3	1	3	2	9	4	6	6	8	2	4	3
C1orf159	489	1032	906	755	822	496	667	814	580	582	719	627	791	965	305	498	602	714	526	463	313	507	406	563	634
LOC124903819	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
LOC124903820	0	3	2	5	3	1	6	2	2	4	0	3	5	5	0	0	0	1	0	0	1	1	0	1	1
LINC01342	2	0	3	1	0	0	0	0	0	2	1	0	2	0	0	1	0	14	0	0	0	0	1	0	0
LOC124903818	1	1	6	1	2	0	3	3	1	4	5	4	11	6	4	2	3	0	0	1	1	3	0	0	1
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	5	6	180	35	1	63	30	2	100	26	2	72	116	2	2	0	0	1	2	2	3	0	2	0
TTLL10	4	42	8	453	50	5	111	80	7	213	78	3	202	273	4	2	4	5	6	2	5	24	0	5	3
TNFRSF18	3	2	0	3	7	3	0	4	4	5	5	15	9	11	3	4	3	7	0	3	11	6	8	3	1
TNFRSF4	2	3	0	2	1	1	0	0	1	3	2	5	4	1	5	0	7	3	5	3	5	2	8	7	1
SDF4	3498	3781	2599	6082	3079	4218	3433	3038	3586	4447	2800	5899	5709	4443	3292	4222	2940	6620	2538	2385	3057	3774	5507	3511	2473
B3GALT6	1876	2451	1825	1843	1029	1796	891	1285	1838	704	883	2024	2214	1625	467	1933	549	2792	709	712	247	584	1727	915	1856
C1QTNF12	33	32	28	147	150	23	344	68	33	415	143	75	97	83	574	48	286	84	307	234	584	459	47	376	33
UBE2J2	2084	2331	1817	1774	1783	1916	1833	1634	2038	1842	1543	2344	1968	1912	1593	1547	1721	2601	1381	1256	1259	1492	1612	1762	1588
LINC01786	69	175	155	306	342	44	306	338	52	287	302	35	257	428	212	79	245	184	287	276	277	298	37	371	200
SCNN1D	114	363	390	508	554	81	625	557	121	544	610	74	489	753	392	193	508	311	593	515	456	518	88	597	469
ACAP3	2494	4444	4995	3230	4437	1629	4879	4143	1903	3432	4021	1623	4140	4345	6258	3346	6626	4827	5373	6034	4226	6171	1475	7423	6726
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	0	15	10	3	5	1	10	11	5	12	13	1	9	10	5	2	14	11	8	15	8	12	0	10	20
PUSL1	523	433	314	291	225	477	294	244	577	362	182	437	408	292	459	341	222	470	256	189	278	403	356	332	260
INTS11	2064	3112	2422	2701	2595	1823	2447	2849	2072	2478	2536	2085	2726	2939	2822	1900	2213	3057	2158	1929	2209	2613	1548	2577	2327
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	571	850	686	715	553	570	439	591	564	434	435	773	725	668	638	656	522	842	555	629	427	578	592	712	705
TAS1R3	34	52	95	55	65	32	47	79	32	27	32	49	55	74	80	41	49	84	56	65	37	41	24	64	83
DVL1	2040	3531	2603	2835	2427	2135	2557	2694	2225	2201	2173	2199	2629	2555	3571	2056	3198	3252	2902	2989	2253	3342	1695	3751	2807
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	933	979	459	2689	980	1269	1286	887	921	1500	867	1286	4018	1944	489	1755	419	2749	454	375	386	779	2885	606	417
AURKAIP1	1778	1779	1129	1515	1016	1839	1084	1006	1910	1574	803	2126	1787	1223	1182	1234	902	1854	794	781	981	1202	1516	952	961
CCNL2	4615	7307	7476	9582	10844	3943	12195	10730	4733	11176	10173	4245	12100	12685	6886	6600	6110	12384	7550	7286	7936	8714	5635	9129	8399
MRPL20-AS1	497	636	487	528	412	429	387	446	453	344	367	464	637	473	412	397	342	626	269	360	277	390	392	404	455
MRPL20	1369	1183	857	916	588	1298	608	671	1358	609	568	1512	1215	855	637	890	488	1389	456	413	474	612	1011	665	789
MRPL20-DT	203	180	120	240	205	167	297	176	235	300	216	249	222	213	285	143	194	242	148	119	246	197	131	199	149
ANKRD65	18	22	39	48	65	11	82	54	13	74	76	37	84	116	76	23	68	83	103	84	67	60	47	181	55
ANKRD65-AS1	0	7	20	28	26	5	32	25	6	16	33	6	24	43	51	11	31	33	57	41	42	39	9	72	41
TMEM88B	18	27	52	58	60	11	57	59	22	47	61	26	148	134	86	36	64	84	74	67	40	69	58	136	80
LINC01770	3	1	5	8	8	6	8	5	4	4	5	0	12	11	15	5	6	21	11	6	2	13	19	13	17
LOC107985729	2	2	5	10	9	4	7	8	8	13	10	1	15	8	13	3	1	13	4	6	2	19	21	3	9
VWA1	461	760	514	1179	664	741	534	642	475	682	587	412	1923	1361	604	706	437	2908	497	479	377	495	4274	720	799
ATAD3C	9	5	27	14	23	3	57	13	6	70	22	8	68	31	105	20	84	63	58	54	45	32	97	117	38
ATAD3B	1542	1214	1108	1202	1266	1430	1511	1103	1290	1651	1137	1753	1501	1440	1042	1057	1119	1488	983	936	978	1256	952	1305	1082
ATAD3A	2081	1739	1389	1212	783	2113	821	986	2258	1094	767	2335	1756	1191	1118	1180	719	1847	813	687	783	1139	1307	1018	1039
TMEM240	222	534	509	434	448	156	371	445	155	354	378	122	364	410	771	316	504	420	475	530	465	552	89	724	539
SSU72	2579	2455	1998	1961	1593	2359	1730	1780	2602	1722	1487	2600	2259	1792	2629	1885	1900	2717	1620	1622	1892	2018	1865	2234	1752
FNDC10	287	494	458	434	266	273	147	331	533	171	203	494	636	660	343	505	333	746	334	319	131	321	659	564	492
LOC105378586	1	20	34	15	10	8	10	19	9	8	9	3	14	20	23	21	23	19	25	24	17	30	5	23	38
MIB2	694	1794	1442	1649	1249	623	1587	1333	707	1716	1212	870	1644	1746	1474	1066	1297	1738	1063	1129	1133	1313	639	1332	1245
LOC124903821	62	138	136	190	206	35	325	182	44	290	191	95	264	257	245	106	185	225	179	162	216	196	92	175	140
MMP23B	13	17	24	41	31	10	57	16	12	53	8	33	166	42	40	52	17	48	11	22	14	19	107	12	24
CDK11B	1288	1644	1358	1116	1227	1054	1068	1298	1295	1139	1045	1473	1436	1239	1574	973	1173	1478	1157	1115	1282	1540	952	1565	1173
SLC35E2B	4356	10511	9138	7030	7907	3677	6631	7939	3943	5769	6386	3642	7285	8381	6875	5352	7465	8424	6511	6899	5046	7128	3496	8943	7898
MMP23A	5	13	9	10	5	5	13	5	5	8	9	2	10	15	7	5	9	4	3	5	0	3	2	7	9
CDK11A	478	662	713	590	731	384	758	745	415	825	690	706	832	771	1000	541	873	901	766	755	849	1078	485	977	665
SLC35E2A	1276	3257	3369	2274	2624	968	2076	2539	954	1730	2083	814	2168	2644	1969	1684	1665	2572	1669	1946	1135	1701	825	2430	2895
LOC112268218	0	10	5	3	4	1	3	4	2	3	3	3	4	4	3	2	1	3	3	0	0	4	4	1	0
NADK	1615	2401	1957	1943	1681	1494	1359	1922	1492	1249	1466	1943	2252	2152	1143	1758	1158	2536	1192	1078	874	1464	1502	1472	1679
GNB1	18005	22301	19091	16508	17571	16604	16855	16412	15753	13587	13549	21552	17666	15798	20605	18401	24134	26579	18684	20075	16274	20481	14784	27195	20243
GNB1-DT	14	16	20	25	15	19	18	12	10	6	17	20	16	21	8	32	19	46	10	8	6	3	20	14	17
LOC124903822	5	4	7	20	2	8	12	6	2	7	4	6	11	11	7	7	2	15	7	9	7	12	5	4	5
CALML6	2	8	0	2	7	1	6	3	3	8	5	2	3	11	1	6	2	8	2	1	0	1	4	1	5
TMEM52	58	82	68	49	40	58	28	44	61	45	41	54	46	58	55	42	60	43	47	41	54	49	26	87	53
CFAP74	91	96	19	1153	214	52	301	202	99	717	181	7	704	827	17	72	4	123	17	14	23	48	1	25	4
LOC107984872	4	0	1	19	3	2	7	6	4	16	5	0	16	9	2	1	1	7	0	0	0	0	0	0	0
LOC105378589	1	20	26	43	38	6	31	71	8	27	42	0	16	90	53	4	28	2	50	38	36	68	0	92	52
GABRD	42	106	131	230	112	38	91	162	30	107	90	3	119	283	253	27	170	32	221	152	185	181	0	327	186
LOC105378590	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
PRKCZ	674	1278	1212	1483	1117	680	988	1076	653	1181	841	915	1147	1223	1430	895	1641	1297	1467	1636	1201	1470	723	2184	1432
PRKCZ-DT	0	0	0	0	0	0	0	0	2	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	98	152	134	168	185	66	174	164	108	155	153	101	135	145	214	89	226	161	185	200	168	197	59	254	172
FAAP20	1525	1956	1433	1835	1222	1417	1035	1309	1235	1041	1028	1624	1939	1576	950	1519	1135	2274	903	905	654	969	1539	1144	1405
LOC112268219	168	195	196	186	118	170	129	134	143	96	97	187	251	189	153	195	146	312	109	105	116	113	133	137	211
LOC105378593	5	4	1	22	12	0	11	3	0	6	16	6	18	14	7	4	6	12	8	16	9	19	2	12	1
LOC124903823	3	0	3	5	0	1	0	0	2	2	5	1	0	0	0	0	2	4	3	1	2	4	3	2	4
SKI	4134	5393	4259	4332	3763	4190	3621	4350	3752	3597	3493	5675	5957	4439	6489	3705	5756	6536	4892	4999	4011	5762	4449	6853	5087
LOC124903824	16	24	21	59	29	29	76	25	26	78	27	59	83	51	38	13	21	55	15	15	26	37	34	45	10
MORN1	324	556	413	1018	540	294	621	643	388	805	572	313	759	798	212	254	235	524	309	299	185	385	238	369	283
LOC100129534	109	218	134	170	99	95	70	143	137	97	72	107	248	213	14	98	23	179	26	22	20	26	83	23	100
RER1	1788	1529	1285	1631	1157	1823	1327	1253	1798	1677	1003	2384	2198	1560	1705	1641	1101	2481	1069	1044	1486	1734	1747	1533	1302
PEX10	1007	859	533	802	521	737	562	601	1011	510	428	708	693	650	384	666	309	1135	317	289	266	419	654	418	457
PLCH2	2	17	11	3	19	1	17	6	3	12	8	2	10	6	70	7	30	16	30	15	28	28	3	46	11
PANK4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
HES5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRXL2B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0
MMEL1-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	3	4	4	26	1	3	11	6	1	10	6	6	6	23	4	2	3	19	1	0	3	4	0	7	2
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
ACTRT2	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903827	30	1191	799	4817	524	191	832	1524	40	1069	930	145	2053	4401	401	118	680	318	442	301	233	434	36	330	301
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	123	3227	2905	7244	2548	950	2872	3645	286	4715	2916	623	3892	6399	2379	567	4037	1677	2912	1789	1430	3843	340	2954	1290
MIR4251	0	0	3	0	0	1	1	0	0	0	1	0	2	3	0	2	0	1	0	0	0	1	0	0	1
LOC105378606	1	5	2	9	7	7	1	5	0	4	1	0	5	15	4	3	4	2	1	3	0	6	0	1	1
LOC107984909	0	21	14	50	16	9	39	36	9	125	29	8	28	51	73	7	110	21	65	32	59	176	3	57	12
LOC105378605	1	7	5	6	1	2	3	6	2	2	0	1	2	2	3	2	16	1	3	2	1	6	3	6	1
LOC124903828	8	64	63	105	34	82	65	113	7	81	37	17	175	123	36	29	41	110	47	39	37	67	8	43	67
LOC105378604	8	29	12	126	15	53	7	29	26	16	13	30	113	122	13	42	10	73	13	8	13	13	54	9	13
ARHGEF16	754	144	121	340	242	391	440	222	529	551	241	562	427	331	206	236	100	362	175	116	128	266	497	194	153
MEGF6	1081	1712	1134	4218	3315	1707	3775	3158	839	3402	3293	2641	7605	5451	2363	2045	2026	6807	2426	1920	1752	2140	6973	2639	1636
LOC105378608	3	4	1	0	4	1	2	3	2	0	3	7	6	0	1	2	0	6	1	4	0	5	6	0	1
MIR551A	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	1
TPRG1L	808	747	688	847	732	632	959	600	636	1215	621	835	954	676	1079	842	599	1173	544	641	840	896	976	901	556
WRAP73	626	713	637	705	814	495	887	813	563	834	771	610	782	944	800	507	602	743	658	643	657	761	483	786	613
TP73	57	98	63	1134	668	52	953	402	44	493	616	90	1307	1833	251	53	62	43	105	96	442	139	23	241	130
TP73-AS3	0	0	0	11	8	1	8	0	1	8	7	1	10	7	4	0	1	0	1	0	5	0	1	3	0
TP73-AS2	0	0	0	0	1	0	1	0	0	1	0	0	5	0	5	0	1	1	0	2	2	8	3	0	0
GFOD3P	1765	1958	1590	2198	1592	1458	1515	1704	1793	1452	1567	1664	2361	2266	1772	1284	1869	2421	1658	1640	1473	1755	1292	2023	1667
CCDC27	5	5	5	31	10	7	16	11	17	17	15	10	26	31	11	4	8	23	12	10	15	8	8	19	10
SMIM1	13	15	9	116	24	17	49	24	20	61	36	33	69	84	56	21	30	31	37	20	25	41	28	38	17
LRRC47	2538	3374	2649	2694	2137	2343	2377	2298	2600	2540	1974	2810	2985	2542	3754	2011	2716	3183	2382	2800	3130	3206	1899	3475	2538
CEP104	1106	1266	1268	1346	1324	1211	1160	1266	1061	1218	1071	1699	1615	1682	1914	1415	1565	2255	1409	1472	1431	1807	1340	2083	1265
LOC124903829	4	10	16	7	19	8	16	9	2	18	12	19	10	9	23	8	28	19	14	9	15	25	5	13	7
DFFB	249	373	360	257	274	232	185	286	211	233	242	209	314	350	336	259	387	376	297	289	313	364	172	433	411
C1orf174	804	726	690	487	761	739	621	714	914	758	608	915	840	844	944	522	857	854	699	555	804	1024	556	817	618
LINC01134	9	3	2	1	1	8	0	0	6	0	1	5	10	1	0	5	0	7	1	0	0	0	5	0	3
LINC01346	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
LINC02780	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1
LINC01777	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
AJAP1	151	571	675	659	251	1426	134	331	992	313	290	484	1052	770	395	933	227	2858	518	400	349	698	900	584	278
LINC02781	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
LOC105376682	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	1	2	0	0	2	2	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	2	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	2	0	0	1	0	0	0	0	5	1	1	4	0	1	0	1	1	1	2	0	3	1
MIR4689	0	0	0	0	2	0	0	1	1	0	0	0	1	2	1	0	0	0	0	0	0	3	1	0	0
NPHP4	927	1616	1544	1765	1303	822	1251	1568	906	1390	1274	581	1661	1707	731	917	967	1467	898	767	556	855	489	1004	1151
KCNAB2	192	967	891	892	948	137	1054	852	165	873	976	88	679	850	1054	349	1313	487	1101	1066	889	1354	139	1330	860
LOC124903831	0	3	2	3	2	0	4	4	2	3	1	0	0	1	0	1	1	3	1	1	2	2	0	2	1
CHD5	45	2622	3910	834	665	67	345	1273	40	81	758	272	1502	1317	2195	1265	2018	1151	2181	2768	1717	2407	420	3191	2925
RPL22	5298	9193	7352	7755	8178	5883	9339	8921	6232	8303	7759	6563	9557	7998	10822	4436	12133	8653	8560	8333	9444	10595	5219	11296	7305
RNF207-AS1	2	2	12	3	3	9	2	4	3	4	1	19	12	7	8	6	13	10	10	6	4	3	11	6	8
RNF207	48	153	258	133	63	206	52	102	67	84	86	1125	765	172	123	167	137	286	116	146	92	109	898	177	263
ICMT	4055	2598	1886	2441	1246	3685	1089	1636	4340	1269	1246	4569	3202	2046	793	2140	656	3679	696	573	509	822	2745	856	1386
ICMT-DT	10	3	4	0	2	6	4	2	10	8	0	3	8	2	9	3	2	3	0	3	3	2	3	8	1
HES3	2	1	0	4	0	4	4	3	4	1	1	0	4	4	4	1	1	3	0	2	5	6	0	3	0
GPR153	1969	1896	2068	1369	1987	877	1716	1649	896	1145	1597	519	1428	1976	3639	1521	2282	1726	2377	2678	1633	3128	615	3409	3538
ACOT7	3312	3799	3114	1827	1842	3000	1378	1907	3196	906	1374	3547	1990	1729	1271	2528	1932	3075	1476	1431	1313	1130	2016	1924	2695
HES2	6	3	0	11	5	11	13	4	0	16	7	31	28	14	32	6	11	22	27	4	18	7	166	27	4
ESPN	4	19	8	26	29	36	7	18	8	26	29	10	57	57	30	105	31	219	40	23	22	52	244	45	25
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TNFRSF25	105	793	991	955	1074	73	843	1322	102	805	1372	121	966	1802	1336	748	1310	870	1260	1267	1012	1299	292	1666	1493
PLEKHG5	498	2356	2353	2637	2481	394	2277	2885	372	2250	2815	457	2545	3806	3473	1995	3377	2170	3250	3280	2465	3969	809	4352	2863
NOL9	1299	1398	1329	706	806	1137	593	1054	1291	581	783	1447	1182	983	1348	882	1062	1430	687	891	1337	939	964	1173	1136
TAS1R1	2	4	0	4	4	1	4	3	4	11	1	5	2	4	4	1	6	2	1	3	6	12	3	5	2
LOC107984912	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0
ZBTB48	469	747	666	725	558	425	538	607	454	633	560	468	789	731	541	473	458	794	423	374	486	493	473	529	672
KLHL21	1668	1077	804	1188	566	1631	640	734	1828	884	496	2847	1491	945	1484	1141	1226	1999	701	713	911	1192	2179	1051	760
LOC107984913	59	47	74	35	33	24	21	42	33	33	27	30	53	48	28	43	35	55	24	35	8	42	34	37	30
