"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",106,-0.555150538376255,-2.31719507131924,3.25959884428639e-08,6.20898224717157e-06,5.46582220986532e-06,5229,"tags=64%, list=25%, signal=49%","UPF1/GSPT1/RPL13/RPL23/PPP2R2A/RPL21/RPL32/RPS15A/GSPT2/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/SMG8/RPL29/RPL13A/RPSA/RPS15/FAU/RPL6/PNRC2/RPS29/RPL26/RPS20/PABPC1/RPL35/RPL38/RPL11/RPS27A/RBM8A/RPS28/RPL8/DCP1A/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/RPL19/UBA52/RPL27/RPS23/SMG7/SMG5/RPL27A/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",144,-0.499239267758814,-2.18425866970942,4.18785942729519e-08,6.20898224717157e-06,5.46582220986532e-06,5104,"tags=55%, list=24%, signal=42%","RPL13/CLTA/RPL23/RPL21/GRSF1/RPL32/RPS15A/RPS12/RPS13/NUP58/RPS26/RPL18/RPL15/RPL37/RPL7/NUP93/RPS14/POLR2J/DNAJC3/RPLP2/POLR2D/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/POLR2E/RPL39/RPL29/RPL13A/POLR2I/KPNB1/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/KPNA2/NUP43/POLR2C/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/CALR/RPS10/RPLP1/RPL10/NDC1/RPL36/NUP35/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/PABPN1/GTF2F1/RPL22L1/RPL23A/RPL14/IPO5/POLR2A/RPL35A/RPL41/EIF2AK2/ISG15/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",145,-0.495781092578398,-2.1714240831205,4.3151227972621e-08,6.20898224717157e-06,5.46582220986532e-06,5104,"tags=52%, list=24%, signal=40%","RPL13/PSMD13/RPL23/RPL21/PSMB4/RPL32/RPS15A/GSPT2/RPS12/PSMA5/RPS13/RPS26/PSMD11/RPL18/RPL15/RPL37/RPL7/USP33/PSMD3/RPS14/RPLP2/PSMB7/RPS27/RPL28/RPLP0/UBC/RPL24/RPL39L/RPS7/RPL39/RPL29/LHX2/RPL13A/MSI1/RPSA/RPS15/FAU/ISL1/RPL6/RPS29/RPL26/RPS20/PABPC1/RPL35/RPL38/RPL11/RPS27A/RBM8A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/PSMB5/ROBO1/RPL36/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/ELOB/RPL22L1/RPL23A/RPL14/RPL35A/SEM1/RPL41/RPL36A/RPS4Y1/LHX9","reactome","G32A_vs_Ctrl_D65"
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS","REACTOME_SIGNALING_BY_ROBO_RECEPTORS",188,-0.460132397612908,-2.08960386872551,4.30644471687526e-08,6.20898224717157e-06,5.46582220986532e-06,5299,"tags=49%, list=25%, signal=37%","CXCL12/NTN1/GSPT1/PFN1/RPL13/PSMD13/RPL23/AKAP5/RPL21/PSMB4/CDC42/PAK3/RPL32/RPS15A/GSPT2/RPS12/PSMA5/RPS13/RPS26/PSMD11/RPL18/RPL15/RPL37/RPL7/USP33/PSMD3/RPS14/EVL/RPLP2/PSMB7/PAK4/RPS27/RPL28/RPLP0/UBC/RPL24/RPL39L/RPS7/RPL39/NRP1/RPL29/LHX2/RPL13A/MSI1/RPSA/RAC1/RPS15/FAU/ISL1/RPL6/RPS29/RPL26/RPS20/PABPC1/RPL35/RPL38/RPL11/RPS27A/ABL1/RBM8A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/PSMB5/RHOA/ROBO1/RPL36/RPL19/UBA52/RPL27/RPS23/NCK1/RPL27A/RPS3/FLRT3/ELOB/RPL22L1/RPL23A/RPL14/PAK2/RPL35A/SEM1/RPL41/RPL36A/RPS4Y1/LHX9","reactome","G32A_vs_Ctrl_D65"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",270,-0.413740936739109,-1.96441090124782,3.19951360525935e-08,6.20898224717157e-06,5.46582220986532e-06,6624,"tags=54%, list=31%, signal=38%","RPS5/SRPRB/MRPS15/EIF3B/RPL18A/RPL12/ETF1/MRPL57/MRPL46/EIF4A2/EEF1A2/SRP68/MRPS2/MRPL12/RPL4/MTRF1L/RPS27L/NARS1/RPS24/DARS2/EIF2B4/SSR3/SRP54/MRPS17/FARSA/RPS11/TRMT112/RPL36AL/SRP72/N6AMT1/EIF3A/MRPS28/GSPT1/SEC61B/KARS1/TUFM/RPL13/RPL23/RPL21/MRPS18C/RPL32/RPS15A/EEF2/GSPT2/MRPS14/RPS12/RPS13/MARS2/RPS26/RPL18/MRPL34/YARS2/GARS1/RPL15/RPL37/RPL7/EIF3D/MRPS25/RPS14/TRAM1/MRPL27/SRP14/EIF3F/PPA1/SEC11A/EIF2S2/RPLP2/EIF3I/WARS2/RPS27/RPL28/RPLP0/MRPL54/RPL24/RPL39L/RPS7/MRPL18/RPL39/MRPS35/EARS2/SPCS2/MRPS33/MRPL55/SSR1/RPL29/RPL13A/EIF4E/EEF1A1/QARS1/RPSA/RPS15/EIF5/FAU/RPL6/MRPS34/RPS29/RPL26/RPS20/RPN1/PABPC1/RPL35/RPL38/RPL11/MTIF3/RPS27A/GADD45GIP1/MRPL17/SEC61G/MRPL52/MRPL21/RPS28/RPL8/SSR4/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/EIF1AX/RPL36/CHCHD1/EIF2S3/MRPL43/RPL19/UBA52/RPL27/MRPS22/RPS23/MRPL36/MRPS21/MRPL9/RPL27A/RPS3/MRPL41/MRPL53/EIF3G/RPL22L1/RPL23A/SSR2/RPL14/MRPL48/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",106,-0.547258120454309,-2.28425216548506,7.0602208562838e-08,9.14298600888752e-06,8.04865177616353e-06,5154,"tags=60%, list=24%, signal=46%","CTH/KARS1/RPL13/RPL23/RPL21/AHCY/RPL32/RPS15A/RPS12/RPS13/RPS26/SEPHS2/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/RPL29/RPL13A/QARS1/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/GNMT/TXNRD1/RPS20/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",184,-0.448547288132237,-2.03068552798175,2.72926214021357e-07,3.21308588325143e-05,2.82850803622133e-05,6676,"tags=54%, list=32%, signal=37%","NCL/RPS5/EXOSC5/NOL9/RPL18A/RPP40/RPL12/RRP36/UTP25/DDX52/MRM3/ISG20L2/RPL4/TRMT10C/RPS27L/RPS24/IMP4/WDR12/NOP56/PES1/DKC1/NSUN4/RPS11/TRMT112/RPL36AL/HSD17B10/NOL11/EXOSC6/RPL13/RPL23/IMP3/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/UTP14A/UTP18/RPS14/RPLP2/NOP14/RPP38/FTSJ3/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/XRN2/RPL29/RPL13A/RPSA/RPS15/FAU/RPL6/RPS29/SNU13/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/NOB1/NOL12/TFB1M/RPS28/RPL8/RPL10A/RPL34/TEX10/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/NHP2/RPL19/UBA52/SENP3/RPL27/RPS23/RPL27A/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",144,-0.476933630093128,-2.08666762348946,5.08704130708715e-07,5.48976541056488e-05,4.83268924173279e-05,5104,"tags=53%, list=24%, signal=40%","RPL13/ATP6V0E2/RPL23/RPL21/ATP6V0B/RPL32/RPS15A/RPS12/NPRL2/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/MIOS/RPS14/EIF2S2/RPLP2/ATP6V1D/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/LAMTOR5/RPL39/ATP6V0C/RPL29/RPL13A/SAMTOR/LAMTOR4/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RRAGC/RPL35/RPL38/RPL11/RPS27A/ATP6V1B2/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/EIF2S3/ATP6V1E2/NPRL3/RPL19/UBA52/RPL27/FNIP2/ATF4/RPS23/RPL27A/MLST8/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/ATP6V1C2/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",116,-0.464341244231038,-1.96527656622257,1.17612776262062e-05,0.00117160419430285,0.00103137357645193,4498,"tags=38%, list=21%, signal=30%","H3C8/H2BC15/AXIN1/DDX5/CCNT1/PTGES3/POLR2J/CXXC5/POLR2D/ERBB4/H2BC5/POLR2E/CBFB/H2AC20/H4C9/POLR2I/ZNF217/H2AC6/FOSB/H2AZ2/JUND/H3-3A/KPNA2/POLR2C/USF2/H3C13/EP300/H4C15/CREBBP/SP1/GTF2F1/H3C10/TBP/YY1/H2BC6/JUN/POLR2A/H4C8/TLE3/H2BC9/H4C5/MYB/H4C11/MYC","reactome","G32A_vs_Ctrl_D65"
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS","REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",232,-0.375630732018069,-1.75064627677767,1.32627646008153e-05,0.00122680572557541,0.00107996797463782,4968,"tags=34%, list=24%, signal=27%","KDM4B/GNG12/GNG8/RDH11/HDAC3/UHMK1/H2BC11/HSPB1/RARB/H3C8/H2BC15/AXIN1/FOXO3/DDX5/CCNT1/PTGES3/POLR2J/GNB1/CXXC5/FKBP5/POLR2D/ERBB4/H2BC5/RDH10/ALDH1A2/POLR2E/GNG5/CREB1/CBFB/H2AC20/H4C9/POLR2I/KDM3A/ZNF217/H2AC6/FOSB/H2AZ2/JUND/STRN/ABCG5/H3-3A/KPNA2/CYP26A1/POLR2C/USF2/ARL4C/H3C13/NOS3/AKR1C3/GNB2/SCD/PIK3R1/IGF1R/EP300/H4C15/CREBBP/S1PR3/SP1/PDK1/RARG/GTF2F1/PDPK1/ALDH1A3/GNB4/H3C10/TBP/CYP26C1/TBL1X/YY1/H2BC6/JUN/POLR2A/H4C8/AKT2/TLE3/H2BC9/H4C5/MYB/H4C11/MYC","reactome","G32A_vs_Ctrl_D65"
"REACTOME_SARS_COV_1_INFECTION","REACTOME_SARS_COV_1_INFECTION",125,-0.443043184586654,-1.89733289527589,2.27492255567373e-05,0.00196401647306499,0.00172894114231204,4698,"tags=45%, list=22%, signal=35%","RPS15A/RPS12/PPIB/RPS13/RPS26/BECN1/DDX5/RPS14/UVRAG/ST3GAL4/RPS27/UBC/MGAT1/TRAF3/RPS7/CHMP4B/MAVS/FKBP1A/RB1/TRIM25/KPNB1/EEF1A1/RPSA/RPS15/VHL/FAU/RPS29/RPS20/RPS27A/KPNA2/MAP1LC3B/MOGS/BST2/RPS28/PARP8/RIGI/RPS21/RPS16/RPS10/PPIH/PALS1/UBA52/RPS23/UBE2I/ST6GAL1/EP300/RPS3/PRKCSH/SP1/YWHAQ/PDPK1/RELA/PCBP2/PARP9/IFIH1/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",57,-0.572361241977034,-2.1335646212246,2.82280583102606e-05,0.00228470846948672,0.00201124915460607,5733,"tags=60%, list=27%, signal=44%","TFDP1/RXRA/CDK4/KMT2A/KLF5/DEK/FLI1/H2BC11/H3C8/H2BC15/H2BC5/CREB1/CBFB/H2AC20/H4C9/H2AC6/H2AZ2/H3-3A/TFDP2/H3C13/TAL1/CDK2/GATA2/PML/EP300/H4C15/H3C10/H2BC6/H4C8/H2BC9/H4C5/MYB/H4C11/MYC","reactome","G32A_vs_Ctrl_D65"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",219,-0.371764012591819,-1.7212621686867,3.0353096304815e-05,0.00231219174792561,0.00203544292867583,4519,"tags=33%, list=21%, signal=26%","NUP58/SAMHD1/CENPS/BECN1/HSPA5/IRF1/FANCC/NUP93/CAMK2D/TUBA3D/SMAD7/DNAJC3/EIF2S2/FKBP5/PPP2CB/CENPX/USP18/UBC/FAAP20/FANCG/IRF2/MAVS/TUBB1/TRIM25/EIF4E/KPNB1/PIAS1/UBE2E1/MT2A/EIF4G2/MID1/PTAFR/YBX1/PPP2R5A/JAK1/RPS27A/NEDD4/KPNA2/IFITM3/NUP43/IFI44/IFI44L/PPM1B/BST2/IFNGR2/RIGI/NDC1/IFIT5/SP100/EIF2S3/NUP35/UBA52/IFITM1/UBE2I/PML/NCK1/TRIM17/TRIM21/EIF2AK3/B2M/MX1/IRF5/STAT1/IP6K2/IFI6/PDE12/IFIH1/EIF2AK2/ADAR/ISG15/OAS3/HLA-A","reactome","G32A_vs_Ctrl_D65"
"REACTOME_RHO_GTPASES_ACTIVATE_PKNS","REACTOME_RHO_GTPASES_ACTIVATE_PKNS",59,-0.558735027729791,-2.09768767941843,3.57121816783546e-05,0.00243406711965628,0.00214273090070128,4743,"tags=44%, list=22%, signal=34%","H2BC11/CDC25C/H3C8/H2BC15/MYL6/PKN2/H2BC5/H2AC20/H4C9/H2AC6/H2AZ2/RAC1/H3-3A/RHOB/H3C13/RHOA/H4C15/AR/YWHAQ/PDPK1/H3C10/H2BC6/H4C8/H2BC9/H4C5/H4C11","reactome","G32A_vs_Ctrl_D65"
"REACTOME_ESR_MEDIATED_SIGNALING","REACTOME_ESR_MEDIATED_SIGNALING",176,-0.402430457359155,-1.81055080095159,3.4610027096991e-05,0.00243406711965628,0.00214273090070128,4968,"tags=36%, list=24%, signal=28%","KDM4B/GNG12/GNG8/UHMK1/H2BC11/HSPB1/H3C8/H2BC15/AXIN1/FOXO3/DDX5/CCNT1/PTGES3/POLR2J/GNB1/CXXC5/FKBP5/POLR2D/ERBB4/H2BC5/POLR2E/GNG5/CREB1/CBFB/H2AC20/H4C9/POLR2I/ZNF217/H2AC6/FOSB/H2AZ2/JUND/STRN/H3-3A/KPNA2/POLR2C/USF2/H3C13/NOS3/GNB2/PIK3R1/IGF1R/EP300/H4C15/CREBBP/S1PR3/SP1/GTF2F1/PDPK1/GNB4/H3C10/TBP/YY1/H2BC6/JUN/POLR2A/H4C8/AKT2/TLE3/H2BC9/H4C5/MYB/H4C11/MYC","reactome","G32A_vs_Ctrl_D65"
