"Description","Description_Short","Database","Timepoint","NES","p.adjust","pvalue","setSize","Pathway","HighlySig"
"mtRNA_stability_and_decay","Mtrna Stability and Decay","MITOCARTA","Early",-1.7229052015066,0.0608845167291485,0.0109930377427629,17,"Mtrna Stability and Decay",FALSE
"Protein_import_sorting_and_homeostasis","Protein Import Sorting and Homeostasis","MITOCARTA","Early",-1.52094606453433,0.0626131706852187,0.0121747831887925,77,"Protein Import Sorting and Homeostasis",FALSE
"mt-tRNA_modifications","Mt-Trna Modifications","MITOCARTA","Early",-1.6782244240121,0.0661109097499094,0.0137731061978978,22,"Mt-Trna Modifications",FALSE
"Complex_III","Complex III","MITOCARTA","Early",-1.68930218158876,0.0688199450396272,0.0154298310066128,15,"Complex III",FALSE
"OXPHOS_assembly_factors","OXPHOS Assembly Factors","MITOCARTA","Early",-1.53544188634172,0.0688199450396272,0.016249153689912,66,"OXPHOS Assembly Factors",FALSE
"Fatty_acid_oxidation","Fatty Acid Oxidation","MITOCARTA","Early",1.5093374786524,0.101560680177032,0.0253901700442581,38,"Fatty Acid Oxidation",FALSE
"mtDNA_replication","Mtdna Replication","MITOCARTA","Early",-1.58931234102367,0.132976203138749,0.0350909424949476,13,"Mtdna Replication",FALSE
"Autophagy","Autophagy","MITOCARTA","Early",1.46671733010353,0.175704114986791,0.0548847420417124,18,"Autophagy",FALSE
"CI_assembly_factors","Ci Assembly Factors","MITOCARTA","Early",-1.49231610431746,0.175704114986791,0.0509242479159116,22,"Ci Assembly Factors",FALSE
"Complex_I","Complex I","MITOCARTA","Early",-1.39497876016012,0.175704114986791,0.0555841482243953,53,"Complex I",FALSE
"Lipid_metabolism","Lipid Metabolism","MITOCARTA","Early",1.3111224624998,0.175704114986791,0.0561277033985582,103,"Lipid Metabolism",FALSE
"SLC25A_family","Slc25a Family","MITOCARTA","Early",-1.36124358497199,0.219985984583041,0.0763840224246671,43,"Slc25a Family",FALSE
"Small_molecule_transport","Small Molecule Transport","MITOCARTA","Early",-1.31495394519609,0.219985984583041,0.0755221386800334,74,"Small Molecule Transport",FALSE
"Polycistronic_mtRNA_processing","Polycistronic Mtrna Processing","MITOCARTA","Early",-1.43233404806093,0.236068909961984,0.0852471063751608,13,"Polycistronic Mtrna Processing",FALSE
"Mitochondrial_central_dogma","Mitochondrial Central Dogma","MITOCARTA","TrajDev",2.40551487842377,2.13630593821193e-13,2.9670915808499e-15,216,"Mitochondrial Central Dogma",TRUE
"Translation","Translation","MITOCARTA","TrajDev",2.1845953001715,7.36415058509481e-08,2.04559738474856e-09,145,"Translation",TRUE
"mtRNA_metabolism","Mtrna Metabolism","MITOCARTA","TrajDev",2.08338923280828,0.000117557600668131,4.89823336117212e-06,73,"Mtrna Metabolism",TRUE
"mtDNA_maintenance","Mtdna Maintenance","MITOCARTA","TrajDev",2.21771384732199,0.000186246435889598,1.03470242160888e-05,29,"Mtdna Maintenance",TRUE
"Mitochondrial_ribosome","Mitochondrial Ribosome","MITOCARTA","TrajDev",1.89322200796298,0.00079793418384556,5.54120961003861e-05,77,"Mitochondrial Ribosome",TRUE
"Mitochondrial_ribosome_assembly","Mitochondrial Ribosome Assembly","MITOCARTA","TrajDev",2.11219120748669,0.00114501173916986,9.54176449308215e-05,24,"Mitochondrial Ribosome Assembly",TRUE
"mtRNA_granules","Mtrna Granules","MITOCARTA","TrajDev",1.97130040352653,0.00364161407710957,0.000354045813052319,26,"Mtrna Granules",TRUE
"mtRNA_stability_and_decay","Mtrna Stability and Decay","MITOCARTA","TrajDev",1.92231962904778,0.0171206330596425,0.0019022925621825,17,"Mtrna Stability and Decay",TRUE
"CI_assembly_factors","Ci Assembly Factors","MITOCARTA","TrajDev",1.73474336765383,0.0473304473304473,0.00610303356668462,22,"Ci Assembly Factors",TRUE
"OXPHOS","OXPHOS","MITOCARTA","TrajDev",1.49211791073418,0.0473304473304473,0.00657367324033991,139,"OXPHOS",TRUE
"Fatty_acid_oxidation","Fatty Acid Oxidation","MITOCARTA","TrajDev",-1.62973856876385,0.0643806857942617,0.0107301142990436,38,"Fatty Acid Oxidation",FALSE
"TCA-associated","Tca-Associated","MITOCARTA","TrajDev",1.71654108255025,0.0643806857942617,0.0105575106501204,13,"Tca-Associated",FALSE
"Protein_import_and_sorting","Protein Import and Sorting","MITOCARTA","TrajDev",1.56412977185451,0.0868399892790137,0.0156794425087108,44,"Protein Import and Sorting",FALSE
"Complex_I","Complex I","MITOCARTA","TrajDev",1.47267307924095,0.150712931268008,0.0293052921910016,53,"Complex I",FALSE
"Autophagy","Autophagy","MITOCARTA","TrajDev",-1.56377803982423,0.154281098546042,0.0337927967985771,18,"Autophagy",FALSE
"mt-tRNA_modifications","Mt-Trna Modifications","MITOCARTA","TrajDev",1.53696205228668,0.154281098546042,0.0342846885657871,22,"Mt-Trna Modifications",FALSE
"mtDNA_replication","Mtdna Replication","MITOCARTA","TrajDev",1.56768507716506,0.155322881143567,0.0366734580477866,13,"Mtdna Replication",FALSE
"Polycistronic_mtRNA_processing","Polycistronic Mtrna Processing","MITOCARTA","TrajDev",1.52846479303049,0.191146508612706,0.0477866271531765,13,"Polycistronic Mtrna Processing",FALSE
"Complex_III","Complex III","MITOCARTA","TrajDev",1.49231076478926,0.192567273991252,0.0508163639699138,15,"Complex III",FALSE
"SLC25A_family","Slc25a Family","MITOCARTA","TrajDev",1.38839912177786,0.23732124171608,0.0659225671433554,43,"Slc25a Family",FALSE
"Lipid_metabolism","Lipid Metabolism","MITOCARTA","TrajDev",-1.26620564946345,0.237836349872686,0.072672218016654,103,"Lipid Metabolism",FALSE
"OXPHOS_subunits","OXPHOS Subunits","MITOCARTA","TrajDev",1.32785221452996,0.237836349872686,0.0719690600302674,74,"OXPHOS Subunits",FALSE
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","Ribonucleoprotein Complex Biogenesis","GOBP","Time_Ctrl",-2.21044877458394,6.08603647499512e-16,5.8507351692743e-18,425,"Ribonucleoprotein Complex Biogenesis",TRUE
"GOBP_RIBOSOME_BIOGENESIS","Ribosome Biogenesis","GOBP","Time_Ctrl",-2.12025228790442,9.31565549242127e-11,1.53800790783967e-12,287,"Ribosome Biogenesis",TRUE
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression","GOBP","Time_Ctrl",-2.31685523880859,1.17504081839003e-10,2.03821082395762e-12,160,"Mitochondrial Gene Expression",TRUE
"GOBP_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","GOBP","Time_Ctrl",-2.31246036058588,7.39507331312011e-09,1.68456215492182e-10,124,"Mitochondrial Translation",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION","Regulation of Mitochondrial Gene Expression","GOBP","Time_Ctrl",-2.0359053625662,0.00217925372617266,0.000127066204723547,32,"Regulation of Mitochondrial Gene Expression",TRUE
"GOBP_RIBOSOME_ASSEMBLY","Ribosome Assembly","GOBP","Time_Ctrl",-1.87383067871486,0.00353522353399415,0.00022386054980151,60,"Ribosome Assembly",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION","Regulation of Mitochondrial Translation","GOBP","Time_Ctrl",-1.98160594774753,0.00515024560856801,0.000344426038608519,25,"Regulation of Mitochondrial Translation",TRUE
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","Mitochondrial Respiratory Chain Complex Assembly","GOBP","Time_Ctrl",-1.75481532054437,0.00749194890997894,0.000552697589388206,89,"Mitochondrial Respiratory Chain Complex Assembly",TRUE
"GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","Mitochondrial Ribosome Assembly","GOBP","Time_Ctrl",-1.88047601483299,0.0160489369761826,0.00144557823129252,16,"Mitochondrial Ribosome Assembly",TRUE
"GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS","Mitochondrial RNA Metabolic Process","GOBP","Time_Ctrl",-1.73369075969164,0.0251246352140078,0.00259910019455253,51,"Mitochondrial RNA Metabolic Process",TRUE
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE","Mitochondrial Genome Maintenance","GOBP","Time_Ctrl",-1.74293137681765,0.045844510106144,0.00567188087415616,26,"Mitochondrial Genome Maintenance",TRUE
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","Ribonucleoprotein Complex Biogenesis","GOBP","Early",-2.63042773754012,4.15472943700385e-26,5.20969208401736e-29,425,"Ribonucleoprotein Complex Biogenesis",TRUE
"GOBP_RIBOSOME_BIOGENESIS","Ribosome Biogenesis","GOBP","Early",-2.60073815874921,3.9471150440839e-19,1.4848081670535e-21,287,"Ribosome Biogenesis",TRUE
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression","GOBP","Early",-2.30006740317502,2.72643840226104e-08,4.33039328258806e-10,160,"Mitochondrial Gene Expression",TRUE
"GOBP_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","GOBP","Early",-2.23243974718084,3.95766370556595e-07,8.27097953096333e-09,124,"Mitochondrial Translation",TRUE
"GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS","Mitochondrial RNA Metabolic Process","GOBP","Early",-2.08420570714913,0.000412242978306005,1.92121596995275e-05,51,"Mitochondrial RNA Metabolic Process",TRUE
"GOBP_RIBOSOME_ASSEMBLY","Ribosome Assembly","GOBP","Early",-1.77976586526358,0.0131160467476738,0.00122526079335636,60,"Ribosome Assembly",TRUE
"GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","Mitochondrial Ribosome Assembly","GOBP","Early",-1.90330994746607,0.0159067019572723,0.00155908949173683,16,"Mitochondrial Ribosome Assembly",TRUE
"GOBP_MITOCHONDRIAL_RNA_PROCESSING","Mitochondrial RNA Processing","GOBP","Early",-1.8910846510639,0.0165221571623039,0.00164153257810809,24,"Mitochondrial RNA Processing",TRUE
"GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION","Positive Regulation of Cytoplasmic Translation","GOBP","Early",-1.88166744224242,0.0190571012598481,0.00199930299528605,16,"Positive Regulation of Cytoplasmic Translation",TRUE
"GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES","Calcium Independent Cell Cell Adhesion via Plasma Membran...","GOBP","Early",1.91306011396993,0.0190880168567716,0.00200661521499449,17,"Calcium Independent Cell Cell Adhesion via Plasma Membran...",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION","Regulation of Mitochondrial Gene Expression","GOBP","Early",-1.82125527703566,0.0237308751133395,0.00265825476713688,32,"Regulation of Mitochondrial Gene Expression",TRUE
"GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX","Protein Import Into Mitochondrial Matrix","GOBP","Early",-1.82109329837995,0.0284359419033167,0.00344633690664055,22,"Protein Import Into Mitochondrial Matrix",TRUE
"GOBP_REGULATION_OF_TRANSLATION","Regulation of Translation","GOBP","Early",-1.41565005491918,0.0304344057355188,0.00386710944351001,325,"Regulation of Translation",TRUE
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE","Establishment of Protein Localization to Mitochondrial Me...","GOBP","Early",-1.7636220577244,0.0333667820363457,0.00437917222963952,30,"Establishment of Protein Localization to Mitochondrial Me...",TRUE
"GOBP_TRANSLATIONAL_INITIATION","Translational Initiation","GOBP","Early",-1.57295399138528,0.0343233233111876,0.00459078932479834,109,"Translational Initiation",TRUE
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","Mitochondrial Respiratory Chain Complex Assembly","GOBP","Early",-1.5951522832449,0.0380194705023598,0.00523611934400316,89,"Mitochondrial Respiratory Chain Complex Assembly",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION","Regulation of Mitochondrial Translation","GOBP","Early",-1.75914672441384,0.0389725388984218,0.0053999568003456,25,"Regulation of Mitochondrial Translation",TRUE
"GOBP_MITOCHONDRIAL_TRANSCRIPTION","Mitochondrial Transcription","GOBP","Early",-1.76255452193541,0.0493459515123217,0.00759009828904259,19,"Mitochondrial Transcription",TRUE
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","Ribonucleoprotein Complex Biogenesis","GOBP","TrajDev",2.29474222969969,2.86731847748419e-16,5.99230611804429e-19,425,"Ribonucleoprotein Complex Biogenesis",TRUE
"GOBP_RIBOSOME_BIOGENESIS","Ribosome Biogenesis","GOBP","TrajDev",2.25418549877522,5.48319967495414e-12,1.94805422098684e-14,287,"Ribosome Biogenesis",TRUE
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression","GOBP","TrajDev",2.25743672057779,1.42756198991704e-08,1.22319836126643e-10,160,"Mitochondrial Gene Expression",TRUE
"GOBP_CYTOPLASMIC_TRANSLATION","Cytoplasmic Translation","GOBP","TrajDev",-2.06610763674837,3.39712568078179e-06,6.3185827709421e-08,157,"Cytoplasmic Translation",TRUE
"GOBP_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","GOBP","TrajDev",2.10657350159296,6.62218740937147e-06,1.34242879563016e-07,124,"Mitochondrial Translation",TRUE
"GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS","Mitochondrial RNA Metabolic Process","GOBP","TrajDev",2.00802895394421,0.00184839554884064,9.49513798963593e-05,51,"Mitochondrial RNA Metabolic Process",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION","Regulation of Mitochondrial Gene Expression","GOBP","TrajDev",2.02568894556084,0.00263567208296615,0.000150924587404958,32,"Regulation of Mitochondrial Gene Expression",TRUE
"GOBP_MITOCHONDRIAL_RNA_PROCESSING","Mitochondrial RNA Processing","GOBP","TrajDev",2.03336398824735,0.0036142528877551,0.000229620246160408,24,"Mitochondrial RNA Processing",TRUE
"GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION","Regulation of Mitochondrial Translation","GOBP","TrajDev",1.95833241059298,0.00693986178289908,0.000536624631070566,25,"Regulation of Mitochondrial Translation",TRUE
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE","Mitochondrial Genome Maintenance","GOBP","TrajDev",1.73865710916084,0.0413168715941284,0.00537076157399119,26,"Mitochondrial Genome Maintenance",TRUE
"GOBP_CYTOPLASMIC_TRANSLATION","Cytoplasmic Translation","GOBP","Late",-2.08418818072659,0.00105674421831622,2.20845186690956e-07,157,"Cytoplasmic Translation",TRUE
"GOCC_MITOCHONDRIAL_MATRIX","Mitochondrial Matrix","GOCC","Time_Ctrl",-1.93427273055287,3.10347116555566e-10,9.89942955520146e-12,476,"Mitochondrial Matrix",TRUE
"GOCC_ORGANELLAR_RIBOSOME","Organellar Ribosome","GOCC","Time_Ctrl",-2.26009812973792,3.65312116270529e-07,1.90909320439878e-08,82,"Organellar Ribosome",TRUE
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","Mitochondrial Protein Containing Complex","GOCC","Time_Ctrl",-2.07138104016014,6.67120457943013e-07,3.83035669632352e-08,165,"Mitochondrial Protein Containing Complex",TRUE
"GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX","Small Nuclear Ribonucleoprotein Complex","GOCC","Time_Ctrl",-2.2100882742963,2.10207482885385e-06,1.50866614511042e-07,74,"Small Nuclear Ribonucleoprotein Complex",TRUE
"GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","Cytosolic Large Ribosomal Subunit","GOCC","Time_Ctrl",2.22401319978759,5.21883387107849e-05,5.32069432441071e-06,51,"Cytosolic Large Ribosomal Subunit",TRUE
"GOCC_CYTOSOLIC_RIBOSOME","Cytosolic Ribosome","GOCC","Time_Ctrl",1.90491270105091,0.000186497057593066,2.26057039506747e-05,103,"Cytosolic Ribosome",TRUE
"GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT","Mitochondrial Large Ribosomal Subunit","GOCC","Time_Ctrl",-1.89512629757944,0.00169964760097587,0.000270823302840636,53,"Mitochondrial Large Ribosomal Subunit",TRUE
"GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT","Mitochondrial Small Ribosomal Subunit","GOCC","Time_Ctrl",-1.98663026345014,0.00183626548024361,0.000304579920168,29,"Mitochondrial Small Ribosomal Subunit",TRUE
"GOCC_90S_PRERIBOSOME","90s Preribosome","GOCC","Time_Ctrl",-1.97805375186387,0.00224969927763843,0.000391096046670795,24,"90s Preribosome",TRUE
"GOCC_RIBONUCLEOPROTEIN_GRANULE","Ribonucleoprotein Granule","GOCC","Time_Ctrl",-1.41944553966992,0.0249612694045488,0.00720572529860182,245,"Ribonucleoprotein Granule",TRUE
"GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX","Small Nuclear Ribonucleoprotein Complex","GOCC","Early",-2.63780390027142,2.50921833519011e-10,7.20349761298597e-12,74,"Small Nuclear Ribonucleoprotein Complex",TRUE
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","Mitochondrial Protein Containing Complex","GOCC","Early",-2.0725157328488,5.90755348321173e-07,3.58033544437074e-08,165,"Mitochondrial Protein Containing Complex",TRUE
"GOCC_90S_PRERIBOSOME","90s Preribosome","GOCC","Early",-2.35048723504376,6.81229390461349e-06,5.10650420282032e-07,24,"90s Preribosome",TRUE
"GOCC_ORGANELLAR_RIBOSOME","Organellar Ribosome","GOCC","Early",-2.18764400705211,1.1343799891843e-05,9.04609241773763e-07,82,"Organellar Ribosome",TRUE
"GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","Cytosolic Large Ribosomal Subunit","GOCC","Early",1.94906753640143,0.0009950380358565,0.000123784636039565,51,"Cytosolic Large Ribosomal Subunit",TRUE
"GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT","Mitochondrial Large Ribosomal Subunit","GOCC","Early",-1.88112891594948,0.00273280708757368,0.000409703135936086,53,"Mitochondrial Large Ribosomal Subunit",TRUE
"GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR","Preribosome Small Subunit Precursor","GOCC","Early",-2.00778314788342,0.00273280708757368,0.000405582287115388,13,"Preribosome Small Subunit Precursor",TRUE
"GOCC_RIBONUCLEOPROTEIN_GRANULE","Ribonucleoprotein Granule","GOCC","Early",-1.52117299238772,0.00745253023504591,0.0013074614447449,245,"Ribonucleoprotein Granule",TRUE
